Section data name;Section id;Text Sub id;Text
off_cards_names_en.dat;0;0;Geezard
off_cards_names_en.dat;0;1;Funguar
off_cards_names_en.dat;0;2;Bite Bug
off_cards_names_en.dat;0;3;Red Bat
off_cards_names_en.dat;0;4;Blobra
off_cards_names_en.dat;0;5;Gayla
off_cards_names_en.dat;0;6;Gesper
off_cards_names_en.dat;0;7;Fastitocalon-F
off_cards_names_en.dat;0;8;Blood Soul
off_cards_names_en.dat;0;9;Caterchipillar
off_cards_names_en.dat;0;10;Cockatrice
off_cards_names_en.dat;0;11;Grat
off_cards_names_en.dat;0;12;Buel
off_cards_names_en.dat;0;13;Mesmerize
off_cards_names_en.dat;0;14;Glacial Eye
off_cards_names_en.dat;0;15;Belhelmel
off_cards_names_en.dat;0;16;Thrustaevis
off_cards_names_en.dat;0;17;Anacondaur
off_cards_names_en.dat;0;18;Creeps
off_cards_names_en.dat;0;19;Grendel
off_cards_names_en.dat;0;20;Jelleye
off_cards_names_en.dat;0;21;Grand Mantis
off_cards_names_en.dat;0;22;Forbidden
off_cards_names_en.dat;0;23;Armadodo
off_cards_names_en.dat;0;24;Tri-Face
off_cards_names_en.dat;0;25;Fastitocalon
off_cards_names_en.dat;0;26;Snow Lion
off_cards_names_en.dat;0;27;Ochu
off_cards_names_en.dat;0;28;SAM08G
off_cards_names_en.dat;0;29;Death Claw
off_cards_names_en.dat;0;30;Cactuar
off_cards_names_en.dat;0;31;Tonberry
off_cards_names_en.dat;0;32;Abyss Worm
off_cards_names_en.dat;0;33;Turtapod
off_cards_names_en.dat;0;34;Vysage
off_cards_names_en.dat;0;35;T-Rexaur
off_cards_names_en.dat;0;36;Bomb
off_cards_names_en.dat;0;37;Blitz
off_cards_names_en.dat;0;38;Wendigo
off_cards_names_en.dat;0;39;Torama
off_cards_names_en.dat;0;40;Imp
off_cards_names_en.dat;0;41;Blue Dragon
off_cards_names_en.dat;0;42;Adamantoise
off_cards_names_en.dat;0;43;Hexadragon
off_cards_names_en.dat;0;44;Iron Giant
off_cards_names_en.dat;0;45;Behemoth
off_cards_names_en.dat;0;46;Chimera
off_cards_names_en.dat;0;47;PuPu
off_cards_names_en.dat;0;48;Elastoid
off_cards_names_en.dat;0;49;GIM47N
off_cards_names_en.dat;0;50;Malboro
off_cards_names_en.dat;0;51;Ruby Dragon
off_cards_names_en.dat;0;52;Elnoyle
off_cards_names_en.dat;0;53;Tonberry King
off_cards_names_en.dat;0;54;Wedge, Biggs
off_cards_names_en.dat;0;55;Fujin, Raijin
off_cards_names_en.dat;0;56;Elvoret
off_cards_names_en.dat;0;57;X-ATM092
off_cards_names_en.dat;0;58;Granaldo
off_cards_names_en.dat;0;59;Gerogero
off_cards_names_en.dat;0;60;Iguion
off_cards_names_en.dat;0;61;Abadon
off_cards_names_en.dat;0;62;Trauma
off_cards_names_en.dat;0;63;Oilboyle
off_cards_names_en.dat;0;64;Shumi Tribe
off_cards_names_en.dat;0;65;Krysta
off_cards_names_en.dat;0;66;Propagator
off_cards_names_en.dat;0;67;Jumbo Cactuar
off_cards_names_en.dat;0;68;Tri-Point
off_cards_names_en.dat;0;69;Gargantua
off_cards_names_en.dat;0;70;Mobile Type 8
off_cards_names_en.dat;0;71;Sphinxara
off_cards_names_en.dat;0;72;Tiamat
off_cards_names_en.dat;0;73;BGH251F2
off_cards_names_en.dat;0;74;Red Giant
off_cards_names_en.dat;0;75;Catoblepas
off_cards_names_en.dat;0;76;Ultima Weapon
off_cards_names_en.dat;0;77;Chubby Chocobo
off_cards_names_en.dat;0;78;Angelo
off_cards_names_en.dat;0;79;Gilgamesh
off_cards_names_en.dat;0;80;MiniMog
off_cards_names_en.dat;0;81;Chicobo
off_cards_names_en.dat;0;82;Quezacotl
off_cards_names_en.dat;0;83;Shiva
off_cards_names_en.dat;0;84;Ifrit
off_cards_names_en.dat;0;85;Siren
off_cards_names_en.dat;0;86;Sacred
off_cards_names_en.dat;0;87;Minotaur
off_cards_names_en.dat;0;88;Carbuncle
off_cards_names_en.dat;0;89;Diablos
off_cards_names_en.dat;0;90;Leviathan
off_cards_names_en.dat;0;91;Odin
off_cards_names_en.dat;0;92;Pandemona
off_cards_names_en.dat;0;93;Cerberus
off_cards_names_en.dat;0;94;Alexander
off_cards_names_en.dat;0;95;Phoenix
off_cards_names_en.dat;0;96;Bahamut
off_cards_names_en.dat;0;97;Doomtrain
off_cards_names_en.dat;0;98;Eden
off_cards_names_en.dat;0;99;Ward
off_cards_names_en.dat;0;100;Kiros
off_cards_names_en.dat;0;101;Laguna
off_cards_names_en.dat;0;102;Selphie
off_cards_names_en.dat;0;103;Quistis
off_cards_names_en.dat;0;104;Irvine
off_cards_names_en.dat;0;105;Zell
off_cards_names_en.dat;0;106;Rinoa
off_cards_names_en.dat;0;107;Edea
off_cards_names_en.dat;0;108;Seifer
off_cards_names_en.dat;0;109;Squall
