Section data name;Section id;Text Sub id;Text
Card name;3;0;Bogomile
Card name;3;1;Fungus
Card name;3;2;Elmidea
Card name;3;3;Nocturnus
Card name;3;4;Incube
Card name;3;5;Aphide
Card name;3;6;Elastos
Card name;3;7;Diodon
Card name;3;8;Carnidea
Card name;3;9;Larva
Card name;3;10;Gallus
Card name;3;11;Orchida
Card name;3;12;Schizoïd
Card name;3;13;Licorne
Card name;3;14;Xylopode
Card name;3;15;Koatl
Card name;3;16;Malaku
Card name;3;17;Arconada
Card name;3;18;Formicide
Card name;3;19;Feng
Card name;3;20;Héra
Card name;3;21;Selek
Card name;3;22;Weevil
Card name;3;23;Scavenger
Card name;3;24;Adéphage
Card name;3;25;Phantom
Card name;3;26;Satyrux
Card name;3;27;Trogiidae
Card name;3;28;Barbarian
Card name;3;29;Berserker
Card name;3;30;Pampa
Card name;3;31;Tomberry
Card name;3;32;Célébis
Card name;3;33;Eiffel
Card name;3;34;Cariatide
Card name;3;35;T-Rex
Card name;3;36;Succube
Card name;3;37;Tikal
Card name;3;38;Wendigo
Card name;3;39;Marsupial
Card name;3;40;Draconus
Card name;3;41;Moloch
Card name;3;42;Ao
Card name;3;43;Polyphage
Card name;3;44;Ekarissor
Card name;3;45;Kanibal
Card name;3;46;Chimaira
Card name;3;47;Koyo K
Card name;3;48;Protesis
Card name;3;49;Pikasso
Card name;3;50;Xylomid
Card name;3;51;Griffon
Card name;3;52;Sulfor
Card name;3;53;Tomberry Sr
Card name;3;54;Wedge/Biggs
Card name;3;55;Fujin/Raijin
Card name;3;56;Sulfura
Card name;3;57;Goliath
Card name;3;58;Lygus
Card name;3;59;Ecorché
Card name;3;60;Iguanor
Card name;3;61;Hornet
Card name;3;62;Flotix
Card name;3;63;Cyanide
Card name;3;64;Shumi
Card name;3;65;Krystal
Card name;3;66;Alienator
Card name;3;67;Pampa Senior
Card name;3;68;Acron
Card name;3;69;Agamemnon
Card name;3;70;Anakronox
Card name;3;71;Mithra
Card name;3;72;Acarnan
Card name;3;73;Omniborg
Card name;3;74;Attila
Card name;3;75;Fabryce
Card name;3;76;Monarch
Card name;3;77;GroChocobo
Card name;3;78;Angel
Card name;3;79;Gilgamesh
Card name;3;80;MiniMog
Card name;3;81;Chicobo
Card name;3;82;Golgotha
Card name;3;83;Shiva
Card name;3;84;Ifrit
Card name;3;85;Ondine
Card name;3;86;Tauros
Card name;3;87;Taurux
Card name;3;88;Ahuri
Card name;3;89;Nosferatu
Card name;3;90;Léviathan
Card name;3;91;Odin
Card name;3;92;Zéphyr
Card name;3;93;Cerbères
Card name;3;94;Alexander
Card name;3;95;Phénix
Card name;3;96;Bahamut
Card name;3;97;Helltrain
Card name;3;98;Orbital
Card name;3;99;Ward
Card name;3;100;Kiros
Card name;3;101;Laguna
Card name;3;102;Selphie
Card name;3;103;Quistis
Card name;3;104;Irvine
Card name;3;105;Zell
Card name;3;106;Linoa
Card name;3;107;Edea
Card name;3;108;Seifer
Card name;3;109;Squall
Scan text;4;0;Possède une\ngunblade.\nUtilise Renzokuken.\nFroid, silencieux\net impitoyable.
Scan text;4;1;Adore les bretzels.\nUtilise diverses\nméthodes de\ncombat rapproché.\nGare à ses coups\nde pieds et à son\npunch légendaire.
Scan text;4;2;Un tireur d'élite.\nIl se sert parfois\nde balles spéciales.\nPlutôt nerveux lors\ndes combats\nrisqués.
Scan text;4;3;Utilise un fouet.\nA la faculté\nd'apprendre les\nsorts de ses\nennemis.\nElle a un fan club\nà la BGU!
Scan text;4;4;Résistante des\n'Hiboux de la forêt'.\nUtilise une arme\nboomerang et sa\nchienne pour des\nattaques spéciales.
Scan text;4;5;Une jeune recrue\nde la BGU.\nSon arme est un\nnunchaku géant.\nElle utilise aussi\nla magie.
Scan text;4;6;Un des meilleurs\ncombattants de la\nBGU. Son caractère\ndifficile l'empêche\nde devenir un Seed.\nUtilise une gunblade.
